file_id,type,point_count_2m_radius,mean_intensity,median_intensity,std_intensity,min_intensity,max_intensity
10000304,clean,1280,0.015300,0.003922,0.033975,0.000000,0.243137
10000305,clean,1289,0.014004,0.003922,0.030753,0.000000,0.215686
10000306,clean,1320,0.014379,0.003922,0.032254,0.000000,0.211765
10000307,clean,1303,0.014528,0.003922,0.033489,0.000000,0.231373
10000308,clean,1320,0.015336,0.003922,0.033454,0.000000,0.223529
10000309,clean,1353,0.015872,0.003922,0.034335,0.000000,0.223529
10000310,clean,1303,0.015798,0.003922,0.034759,0.000000,0.243137
10000311,clean,1334,0.014904,0.003922,0.033613,0.000000,0.231373
10000312,clean,1328,0.016120,0.003922,0.037582,0.000000,0.243137
10000313,clean,1366,0.015437,0.003922,0.034127,0.000000,0.231373
10000314,clean,1299,0.015140,0.003922,0.033804,0.000000,0.231373
10000315,clean,1325,0.016722,0.003922,0.037121,0.000000,0.243137
10000316,clean,1413,0.015248,0.003922,0.036012,0.000000,0.235294
10000317,clean,1262,0.014940,0.003922,0.034575,0.000000,0.235294
10000318,clean,1390,0.015841,0.003922,0.035831,0.000000,0.235294
10000319,clean,1356,0.014587,0.003922,0.033673,0.000000,0.250980
10000320,clean,1345,0.014555,0.003922,0.034256,0.000000,0.239216
10000321,clean,1324,0.014265,0.003922,0.031428,0.000000,0.235294
10000322,clean,1335,0.016553,0.003922,0.037176,0.000000,0.250980
10000323,clean,1335,0.015451,0.003922,0.035807,0.000000,0.231373
10000324,clean,1296,0.016107,0.003922,0.036016,0.000000,0.231373
10000325,clean,1289,0.015911,0.003922,0.036279,0.000000,0.243137
10000326,clean,1335,0.016092,0.003922,0.035987,0.000000,0.239216
10000327,clean,1300,0.015234,0.003922,0.033534,0.000000,0.247059
10000328,clean,1282,0.017075,0.003922,0.038593,0.000000,0.250980
10000329,clean,1255,0.016192,0.003922,0.037581,0.000000,0.243137
10000330,clean,1307,0.015539,0.003922,0.034724,0.000000,0.243137
10000331,clean,1294,0.015426,0.003922,0.035564,0.000000,0.243137
10000332,clean,1308,0.016298,0.003922,0.037462,0.000000,0.254902
10000333,clean,1273,0.016370,0.003922,0.037280,0.000000,0.254902
10000334,clean,1266,0.016145,0.003922,0.036087,0.000000,0.239216
10000335,clean,1302,0.015759,0.003922,0.036174,0.000000,0.231373
10000336,clean,1365,0.015956,0.003922,0.035994,0.000000,0.223529
10000337,clean,1275,0.016175,0.003922,0.036287,0.000000,0.239216
10000338,clean,1346,0.015039,0.003922,0.036239,0.000000,0.254902
10000339,clean,1300,0.016736,0.003922,0.037962,0.000000,0.235294
10000340,clean,1348,0.015523,0.003922,0.036983,0.000000,0.262745
10000341,clean,1321,0.016152,0.003922,0.037436,0.000000,0.254902
10000342,clean,1344,0.014499,0.003922,0.032880,0.000000,0.258824
10000343,clean,1321,0.014591,0.003922,0.034528,0.000000,0.250980
10000344,clean,1299,0.015765,0.003922,0.035624,0.000000,0.239216
10000345,clean,1313,0.016072,0.003922,0.036056,0.000000,0.247059
10000346,clean,1379,0.015550,0.003922,0.035909,0.000000,0.250980
10000347,clean,1315,0.014810,0.003922,0.033761,0.000000,0.258824
10000348,clean,1347,0.015564,0.003922,0.035097,0.000000,0.235294
10000349,clean,1363,0.016601,0.003922,0.037505,0.000000,0.247059
10000350,clean,1271,0.018108,0.003922,0.041370,0.000000,0.258824
10000351,clean,1293,0.015665,0.003922,0.035804,0.000000,0.227451
10000352,clean,1306,0.015491,0.003922,0.035350,0.000000,0.247059
10000353,clean,1351,0.016334,0.003922,0.036256,0.000000,0.235294
10000354,clean,1329,0.015362,0.003922,0.033781,0.000000,0.235294
10000355,clean,1278,0.016058,0.003922,0.035904,0.000000,0.247059
10000356,clean,1328,0.015583,0.003922,0.034567,0.000000,0.239216
10000357,clean,1363,0.015401,0.003922,0.034538,0.000000,0.250980
10000358,clean,1413,0.014609,0.003922,0.033974,0.000000,0.250980
10000359,clean,1516,0.023752,0.003922,0.046448,0.000000,0.286275
10000360,clean,1470,0.030383,0.003922,0.059273,0.000000,0.317647
10000361,clean,1510,0.022457,0.003922,0.055597,0.000000,0.356863
10000362,clean,1401,0.018939,0.003922,0.041877,0.000000,0.247059
10000363,clean,1587,0.023675,0.003922,0.048364,0.000000,0.254902
10000364,clean,1405,0.025240,0.003922,0.052726,0.000000,0.282353
10000365,clean,1643,0.027816,0.003922,0.052304,0.000000,0.266667
10000366,clean,1566,0.029442,0.003922,0.059109,0.000000,0.333333
10000367,clean,1554,0.036185,0.005882,0.067806,0.000000,0.301961
10000368,clean,1601,0.036022,0.003922,0.068197,0.000000,0.321569
10000369,clean,1649,0.036802,0.003922,0.076663,0.000000,0.596078
10000370,clean,1474,0.028111,0.003922,0.058362,0.000000,0.282353
10000371,clean,1558,0.031456,0.003922,0.069199,0.000000,0.364706
